SGG_CD,SGG_NM,BJDONG_CD,BJDONG_NM,BOBN,BUBN,FLR_NO,CNTRCT_DE,RENT_GBN,RENT_AREA,RENT_GTN,RENT_FEE,BLDG_NM,BUILD_YEAR,HOUSE_GBN_NM
11230,동대문구,10900,휘경동,0376,0000,2.0,2023-01-31,월세,14.97,2893,13,서울휘경행복아파트,2021,아파트
11650,서초구,10900,내곡동,0001,0000,14.0,2023-01-31,월세,114.62,15000,280,서초더샵포레,2014,아파트
11650,서초구,11100,신원동,0568,0000,4.0,2023-01-31,전세,59.73,50375,0,서초포레스타3단지,2014,아파트
11650,서초구,11100,신원동,0690,0000,8.0,2023-01-31,전세,59.96,50375,0,서초포레스타5단지,2014,아파트
11650,서초구,11100,신원동,0619,0000,2.0,2023-01-31,월세,39.99,8376,21,서초포레스타6단지,2015,아파트
11560,영등포구,12900,양평동5가,0024,0001,12.0,2023-01-31,전세,25.82,19000,0,선유도역 마들렌 오피스텔,2021,오피스텔
11440,마포구,12500,성산동,0446,0000,13.0,2023-01-31,월세,50.03,1200,88,성산시영(대우),1986,아파트
11440,마포구,12500,성산동,0446,0000,8.0,2023-01-31,전세,50.03,24000,0,성산시영(대우),1986,아파트
11440,마포구,12500,성산동,0446,0000,10.0,2023-01-31,전세,59.43,31000,0,성산시영(유원),1986,아파트
11440,마포구,12500,성산동,0595,0000,9.0,2023-01-31,월세,25.2,3790,8,성산임대아파트,1991,아파트
11200,성동구,11500,성수동2가,0286,0000,1.0,2023-01-31,월세,59.82,33000,50,성수우방2차아파트,1999,아파트
11200,성동구,11500,성수동2가,0286,0000,1.0,2023-01-31,월세,59.82,33000,50,성수우방2차아파트,1999,아파트
11440,마포구,11000,노고산동,0001,0058,2.0,2023-01-31,전세,15.26,15000,0,세명시티,2021,연립다세대
11620,관악구,10300,남현동,1062,0022,2.0,2023-01-31,월세,32.65,20000,10,센텀,2012,오피스텔
11410,서대문구,11000,북아현동,0001,1336,1.0,2023-01-31,전세,51.89,32000,0,센텀시티,2016,연립다세대
11200,성동구,10200,하왕십리동,1070,0000,7.0,2023-01-31,전세,59.66,59000,0,센트라스,2016,아파트
11590,동작구,10300,상도1동,0692,0000,6.0,2023-01-31,전세,29.88,28150,0,소연빌,2017,연립다세대
11260,중랑구,10200,상봉동,0084,0011,8.0,2023-01-31,월세,21.28,400,40,솔렌시아5,2019,아파트
11350,노원구,10500,상계동,0581,0115,5.0,2023-01-31,전세,25.76,7000,0,송원레지던스,2012,연립다세대
11710,송파구,10900,장지동,0854,0000,6.0,2023-01-31,전세,59.96,17867,0,송파파인타운11단지,2007,아파트
11710,송파구,11400,마천동,0582,0000,8.0,2023-01-31,전세,84.13,49270,0,송파파크데일1단지,2011,아파트
11710,송파구,10800,문정동,0620,0000,9.0,2023-01-31,월세,30.0,1000,95,송파푸르지오시티,2013,오피스텔
11380,은평구,10500,구산동,0024,0059,2.0,2023-01-31,전세,76.31,31500,0,송학,2004,아파트
11350,노원구,10500,상계동,1269,0000,12.0,2023-01-31,전세,84.62,41000,0,수락파크빌,2001,아파트
11530,구로구,10900,궁동,0198,0039,5.0,2023-01-31,전세,46.9,14000,0,수정,2001,아파트
11560,영등포구,11000,여의도동,0032,0000,3.0,2023-01-31,전세,150.65,51000,0,수정,1976,아파트
11530,구로구,10800,오류동,0359,0000,8.0,2023-01-31,월세,16.99,4072,22,"숲에리움,오류1동주민센터",2020,아파트
11500,강서구,10300,화곡동,0900,0032,12.0,2023-01-31,월세,13.67,12200,8,스위트132드림하우스,2013,아파트
11305,강북구,10300,수유동,0535,0022,3.0,2023-01-31,전세,161.64,28000,0,스위트그린빌,2001,연립다세대
11560,영등포구,10700,영등포동6가,0148,0000,3.0,2023-01-31,월세,15.8,10000,25,스위트빌,2012,연립다세대
11440,마포구,10300,신공덕동,0139,0013,2.0,2023-01-31,전세,19.3,19000,0,스카라브하우스,2022,연립다세대
11410,서대문구,12000,남가좌동,0269,0001,8.0,2023-01-31,월세,30.97,18050,38,스타타워,2022,아파트
11590,동작구,10700,사당동,1051,0022,9.0,2023-01-31,전세,31.73,26250,0,스톤하우스,2016,아파트
11260,중랑구,10600,신내동,0650,0000,4.0,2023-01-31,월세,59.76,26000,20,신내6대주,1996,아파트
11260,중랑구,10600,신내동,0657,0000,13.0,2023-01-31,전세,33.18,16000,0,신내9진흥,1996,아파트
11140,중구,16500,황학동,1173,0000,18.0,2023-01-31,전세,21.08,19500,0,신당 큐브스테이트,2022,오피스텔
11530,구로구,10100,신도림동,0387,0003,10.0,2023-01-31,월세,62.47,2000,130,신도림월드메르디앙오피스텔,2005,오피스텔
11530,구로구,10200,구로동,1267,0000,16.0,2023-01-31,전세,59.88,40000,0,신도림태영타운,2000,아파트
11530,구로구,10200,구로동,0026,0000,11.0,2023-01-31,전세,33.69,19000,0,신도림포스빌,2004,오피스텔
11680,강남구,10400,청담동,0134,0016,14.0,2023-01-31,월세,84.94,47400,50,신동아,1997,아파트
11650,서초구,10600,잠원동,0070,0000,7.0,2023-01-31,전세,96.48,70000,0,신반포4,1979,아파트
11470,양천구,10300,신월동,0987,0001,9.0,2023-01-31,전세,43.2,16500,0,신월시영,1988,아파트
11680,강남구,11000,압구정동,0433,0000,4.0,2023-01-31,월세,108.36,20000,240,신현대11차,1983,아파트
11560,영등포구,11100,당산동1가,0185,0045,6.0,2023-01-31,전세,29.53,26300,0,신현빌3차,2018,연립다세대
11200,성동구,11400,성수동1가,0706,0000,9.0,2023-01-31,전세,59.76,55000,0,쌍용,1997,아파트
11260,중랑구,10100,면목동,1548,0000,13.0,2023-01-31,전세,59.97,46000,0,쌍용더플래티넘용마산,2020,아파트
11545,금천구,10300,시흥동,0942,0015,3.0,2023-01-31,전세,28.71,14000,0,썬그린파크(942-15),2011,연립다세대
11215,광진구,10700,화양동,0530,0000,3.0,2023-01-31,월세,14.23,1000,68,씨즈건대힐스,2017,아파트
11500,강서구,10100,염창동,0310,0000,4.0,2023-01-31,월세,18.84,12000,14,아네스트염창,2019,오피스텔
11650,서초구,10200,양재동,0391,0006,3.0,2023-01-31,전세,29.78,30000,0,아비체Ⅳ,2019,연립다세대
